cities,name,country,state,lat,lon
Mont Saint Michel,Mont Saint-Michel,FR,Normandy,48.6359541,-1.511459954959514
St Malo,Saint-Malo,FR,Brittany,48.649518,-2.0260409
Bayeux,Bayeux,FR,Normandy,49.2764624,-0.7024738
Le Havre,Le Havre,FR,Normandy,49.4938975,0.1079732
Rouen,Rouen,FR,Normandy,49.4404591,1.0939658
Paris,Paris,FR,Ile-de-France,48.8588897,2.3200410217200766
Amiens,Amiens,FR,Hauts-de-France,49.8941708,2.2956951
Lille,Lille,FR,Hauts-de-France,50.6365654,3.0635282
Strasbourg,Strasbourg,FR,Grand Est,48.584614,7.7507127
Chateau du Haut Koenigsbourg,Château du Haut-Kœnigsbourg,FR,Grand Est,48.2495226,7.3454923
Colmar,Colmar,FR,Grand Est,48.0777517,7.3579641
Eguisheim,Eguisheim,FR,Grand Est,48.0447968,7.3079618
Besancon,Besançon,FR,Bourgogne-Franche-Comté,47.2380222,6.0243622
Dijon,Dijon,FR,Bourgogne-Franche-Comté,47.3215806,5.0414701
Annecy,Annecy,FR,Auvergne-Rhône-Alpes,45.8992348,6.1288847
Grenoble,Grenoble,FR,Auvergne-Rhône-Alpes,45.1875602,5.7357819
Lyon,Lyon,FR,Auvergne-Rhône-Alpes,45.7578137,4.8320114
Bormes les Mimosas,Bormes-les-Mimosas,FR,Provence-Alpes-Côte d'Azur,43.1506968,6.3419285
Cassis,Cassis,FR,Provence-Alpes-Côte d'Azur,43.2140359,5.5396318
Marseille,Marseille,FR,Provence-Alpes-Côte d'Azur,43.2961743,5.3699525
Aix en Provence,Aix-en-Provence,FR,Provence-Alpes-Côte d'Azur,43.5298424,5.4474738
Avignon,Avignon,FR,Provence-Alpes-Côte d'Azur,43.9492493,4.8059012
Uzes,Uzès,FR,Occitania,44.0121279,4.4196718
Nimes,Nimes,FR,Occitania,43.8374249,4.3600687
Aigues Mortes,Aigues-Mortes,FR,Occitania,43.5658225,4.1912837
Saintes Maries de la mer,Saintes-Maries-de-la-Mer,FR,Provence-Alpes-Côte d'Azur,43.4522771,4.4287172
Collioure,Collioure,FR,Occitania,42.52505,3.0831554
Carcassonne,Carcassonne,FR,Occitania,43.2130358,2.3491069
Ariege,Tarascon-sur-Ariège,FR,Occitania,42.8458016,1.6067586
Toulouse,Toulouse,FR,Occitania,43.6044622,1.4442469
Montauban,Montauban,FR,Occitania,44.0175835,1.3549991
Biarritz,Biarritz,FR,Nouvelle-Aquitaine,43.4832523,-1.5592776
Bayonne,Bayonne,FR,Nouvelle-Aquitaine,43.4945144,-1.4736657
La Rochelle,La Rochelle,FR,Nouvelle-Aquitaine,46.1591126,-1.1520434
Gorges du Verdon,,,,43.7496562,6.3285616
